Fabric Code,Brand,Type,Color,File
553723,2,shirt,"White With Pink, Dark Blue, Fountain Blue And Powder Blue",553723.jpg
553755,2,shirt,"Crem With Blue,Green And Black Checked",553755.jpg
553756,2,shirt,Marl Beige Herringbone,553756.jpg
553758,2,shirt,Tan Diagonal Grid,553758.jpg
553766,2,shirt,"Blue, Orange And Beige Stripe",553766.jpg
553788,2,shirt,White With Red Striped,553788.jpg
553803,2,shirt,White With Pink And Purple Stripe,553803.jpg
553868,2,shirt,"White With Powder Blue, Navy Blue, Purple, Pink, Green, Red And Orange Stripes",553868.jpg
553905,2,shirt,Tan With Light Brown And Dark Blue Stripe,553905.jpg
553906,2,shirt,Tan With Dark Blue Stripe,553906.jpg
553912,2,shirt,White With Purple Stripe,553912.jpg
553929,2,shirt,White with Baby Blue Pink Stripe,553929.jpg
553930,2,shirt,"White With Blue, Pink And Green Pinstripe",553930.jpg
553931,2,shirt,White With Blue And Grey Stripe,553931.jpg
553946,2,shirt,"White With Red, Purple And Blue Stripe",553946.jpg
553948,2,shirt,White With Yellow And Green Stripes,553948.jpg
553953,2,shirt,Light With Pink And Red Stripe,553953.jpg
553976,2,shirt,Tan Solid,553976.jpg
554050,2,shirt,"White With Blue, Light Blue, Red And Pink Stripe",554050.jpg
554051,2,shirt,"White With Blue, Light Blue, Yellow And Orange Selfstripe",554051.jpg
554052,2,shirt,White With Blue And Light Blue Stripe,554052.jpg
554053,2,shirt,Pink And Blue Stripes,554053.jpg
554059,2,shirt,null,554059.jpg
554060,2,shirt,null,554060.jpg
554072,2,shirt,"White,Yellow And Blue Stripe",554072.jpg
554075,2,shirt,Beige With Dark Blue And Maroon Stripes,554075.jpg
554112,2,shirt,"Cream With Dark Blue, Blue And Sky Blue Stripe",554112.jpg
554127,2,shirt,White With Pink And Brown Stripes,554127.jpg
554128,2,shirt,Red And Blue Stripes,554128.jpg
554129,2,shirt,"White With Blue,Orange And Yellow Stripes",554129.jpg
554131,2,shirt,"Whte, Blue And Red Stripe",554131.jpg
554178,2,shirt,Green,554178.jpg
554193,2,shirt,Blue With White And Brown Stripes,554193.jpg
554197,2,shirt,White With Triple Blue Stripes,554197.jpg
554200,2,shirt,White With Brown And Red Pinstripe,554200.jpg
554204,2,shirt,White With Orange And Apricot Stripe,554204.jpg
554206,2,shirt,Brown And Light Stripe,554206.jpg
554207,2,shirt,Blue And Brown Stripe,554207.jpg
554208,2,shirt,White Pink Pinstripe,554208.jpg
554214,2,shirt,"Sky Blue, Blue And White Stripe",554214.jpg
554215,2,shirt,"White, Red And Pink Stripe",554215.jpg
554219,2,shirt,White And Light Brown Stripe,554219.jpg
554229,2,shirt,White With Red And Orange Stripes,554229.jpg
554233,2,shirt,"White With Blue, Navy Blue And Purple Stripes",554233.jpg
554235,2,shirt,White With Blue And Pink Stripes,554235.jpg
554239,2,shirt,White With Wisp Pink Stripe,554239.jpg
554240,2,shirt,White With Pink Stripe,554240.jpg
554241,2,shirt,Grey And Orange Stripe,554241.jpg
554245,2,shirt,White And Black Stripe,554245.jpg
554251,2,shirt,White Blue Stripe,554251.jpg
554255,2,shirt,White And Blue Stripe,554255.jpg
554261,2,shirt,Beige,554261.jpg
554265,2,shirt,White With Blue And Green Stripe,554265.jpg
554283,2,shirt,"

Dust Storm",554283.jpg
554285,2,shirt,Blue Pinpoint,554285.jpg
554298,2,shirt,null,554298.jpg
554306,2,shirt,White With Blue And Red Stripe,554306.jpg
554308,2,shirt,Light Blue With Dark Blue And White Stripe,554308.jpg
554309,2,shirt,"White, Blue And Black Stripe",554309.jpg
554323,2,shirt,"Light Blue With Blue, Dark Blue And White Stripe",554323.jpg
554324,2,shirt,White And Blue Gingham Checks,554324.jpg
554327,2,shirt,Blue And White Check,554327.jpg
554391,2,shirt,French Lilac And White Herringbone,554391.jpg
554392,2,shirt,Almond And White Herringbone,554392.jpg
554393,2,shirt,Yellow And White Herringbone,554393.jpg
554394,2,shirt,"

Maroon Oak And White Herringbone",554394.jpg
554494,2,shirt,Dark Brown With White Pin stripe,554494.jpg
554500,2,shirt,"Light Blue, Black, White And Pink Stripes",554500.jpg
554502,2,shirt,Light Blue With White And Blue Stripes,554502.jpg
554505,2,shirt,"Black, White And Sky Blue Stripes",554505.jpg
554506,2,shirt,"Black, Ash And White Stripes",554506.jpg
554508,2,shirt,White And Red Stripes,554508.jpg
554509,2,shirt,White And Black Stripe,554509.jpg
554510,2,shirt,"Light Blue, White And Dark Blue Stripe",554510.jpg
554511,2,shirt,Light Blue With White And Grape,554511.jpg
554512,2,shirt,Light Blue White And Blue Stripes,554512.jpg
554513,2,shirt,White With Baby Blue And Blue Stripe,554513.jpg
554515,2,shirt,White With Red And Blue Stripe,554515.jpg
554517,2,shirt,Light Blue With Blue And Dark Blue Stripe,554517.jpg
554562,2,shirt,Blue,554562.jpg
554566,2,shirt,Pink,554566.jpg
554567,2,shirt,Blue,554567.jpg
554569,2,shirt,Pink And White Stripes,554569.jpg
554570,2,shirt,null,554570.jpg
554573,2,shirt,White With Yellow Stripe,554573.jpg
554574,2,shirt,Sky Blue And Pink Stripe,554574.jpg
554575,2,shirt,White With Green Stripe,554575.jpg
554576,2,shirt,White With Dark Brown Stripe,554576.jpg
554577,2,shirt,White With Black Stripe,554577.jpg
554579,2,shirt,"

Bastille",554579.jpg
554586,2,shirt,"

Martinique With Green, Silver And Black Stripe",554586.jpg
554625,2,shirt,null,554625.jpg
554830,2,shirt,White With Black And Pink Stripe,554830.jpg
554831,2,shirt,Black Gingham,554831.jpg
554835,2,shirt,null,554835.jpg
554869,2,shirt,Black With Double White Stripe,554869.jpg
554880,2,shirt,Dark Blue Herringbone,554880.jpg
554895,2,shirt,Pink With White Stripe,554895.jpg
554899,2,shirt,Pink,554899.jpg
554900,2,shirt,Sky Blue,554900.jpg
554913,2,shirt,White And Red Stripe,554913.jpg
554984,2,shirt,Solid Waikawa Gray,554984.jpg
554988,2,shirt,Solid Black,554988.jpg
555024,2,shirt,null,555024.jpg
555030,2,shirt,"Light Blue With Navy Blue,White And Red Strip",555030.jpg
555032,2,shirt,Ash With Pink Stripe,555032.jpg
555033,2,shirt,Aths Special With  Brown Stripe,555033.jpg
555034,2,shirt,White With Double Black Stripe,555034.jpg
555069,2,shirt,Small Green Check,555069.jpg
555151,2,shirt,Solid Wnie Red,555151.jpg
555152,2,shirt,Solid Yellow,555152.jpg
555153,2,shirt,Solid Brown,555153.jpg
555154,2,shirt,Solid Light Blue,555154.jpg
555156,2,shirt,Solid Lavender Rose,555156.jpg
555157,2,shirt,Solid Orange Roughy,555157.jpg
555158,2,shirt,Solid Blue,555158.jpg
555159,2,shirt,White Check,555159.jpg
555160,2,shirt,White Small Check,555160.jpg
555161,2,shirt,White Diamond Check,555161.jpg
555162,2,shirt,White Mini Chessboard,555162.jpg
555165,2,shirt,Ash With White And Purple Stripe,555165.jpg
555166,2,shirt,Light Blue Whith White And Blue Stripe,555166.jpg
555167,2,shirt,"White, Dark Blue And Blue Stripe",555167.jpg
555168,2,shirt,"Light Blue, Lavender Purple And Violet Stripe",555168.jpg
555174,2,shirt,White With Light Blue And Dark Blue Stripe,555174.jpg
555175,2,shirt,White With Grey And Black Stripe,555175.jpg
555205,2,shirt,Navy with French pass And Dark Grey,555205.jpg
555206,2,shirt,"Red,Cream And Dark Blue Striped",555206.jpg
555326,2,shirt,White With Blue Stripe,555326.jpg
CF-007-3,2,shirt,Cream,CF-007-3.jpg
CF-007-8,2,shirt,Grey,CF-007-8.jpg
CF-051-1,2,shirt,White With  Small Blue Check,CF-051-1.jpg
CF-051-2,2,shirt,White With Small Grey Check,CF-051-2.jpg
CF-051-3,2,shirt,White With Small Red Check,CF-051-3.jpg
CF-051-4,2,shirt,White With Small Dark Blue Check,CF-051-4.jpg
CF-051-6,2,shirt,White With Small Purple Check,CF-051-6.jpg
CF-051-7,2,shirt,White With Small Black Check,CF-051-7.jpg
CF-056-1,2,shirt,White With Dark Blue And Ligth Blue Check,CF-056-1.jpg
CF-056-4,2,shirt,White With Black And Grey Check,CF-056-4.jpg
CF-056-7,2,shirt,White With Dark Red And Pink Check,CF-056-7.jpg
CF-059-1,2,shirt,White With Dark Blue Stripe,CF-059-1.jpg
CF-059-2,2,shirt,White With Blue Stripe,CF-059-2.jpg
CF-059-3,2,shirt,White With Red Stripe,CF-059-3.jpg
CF-059-4,2,shirt,White With Grey Stripe,CF-059-4.jpg
CF-059-6,2,shirt,White With Purple Stripe,CF-059-6.jpg
CF-059-7,2,shirt,White With Black Stripe,CF-059-7.jpg
CF-063-1,2,shirt,White With Dark Blue And Blue Stripe,CF-063-1.jpg
CF-063-3,2,shirt,White With Black And Brown Stripe,CF-063-3.jpg
CF-063-4,2,shirt,White With Black And Grey Stripe,CF-063-4.jpg
CF-063-7,2,shirt,White With Dark Red And Pink Stripe,CF-063-7.jpg
CF-086-4,2,shirt,White And Kashmir Blue Stripe,CF-086-4.jpg
CF-086-6,2,shirt,White And Purple Stripe,CF-086-6.jpg
CF-086-13,2,shirt,White And Black Stripe,CF-086-13.jpg
CF-086-14,2,shirt,White And Pink Stripe,CF-086-14.jpg
CF-115-1,2,shirt,Blue With White Check,CF-115-1.jpg
CF-115-3,2,shirt,Black With White Check,CF-115-3.jpg
CF-116-2,2,shirt,Blue With White Stripe,CF-116-2.jpg
CF-116-3,2,shirt,Grey With White Stripe,CF-116-3.jpg
CF-244-22,2,shirt,Black Pinpoint,CF-244-22.jpg
CF-426-1,2,shirt,White Herringbone,CF-426-1.jpg
CF-426-10,2,shirt,Blue Herringbone,CF-426-10.jpg
CF-501-1,2,shirt,Light Blue White Duble Stripes,CF-501-1.jpg
CF-501-4,2,shirt,Purple White Duble Stripes,CF-501-4.jpg
CF-501-5,2,shirt,Grey White Duble Stripes,CF-501-5.jpg
CF-508-5,2,shirt,Green Check,CF-508-5.jpg
CF-509-4,2,shirt,White And Pink Stripe,CF-509-4.jpg
CF-509-6,2,shirt,White And Blue Stripe,CF-509-6.jpg
CF-539-2,2,shirt,White With Blue Check,CF-539-2.jpg
CF-539-5,2,shirt,White With Black check,CF-539-5.jpg
CF-539-7,2,shirt,White With Blue Stripe,CF-539-7.jpg
CF-539-8,2,shirt,White With Red Stripe,CF-539-8.jpg
CF-544-2,2,shirt,Blue With White And Blue Check,CF-544-2.jpg
CF-544-3,2,shirt,Pink With White And Pink Check,CF-544-3.jpg
CF-544-5,2,shirt,Blue With White Stripe,CF-544-5.jpg
CF-544-6,2,shirt,Pink With White Stripe,CF-544-6.jpg
CF-555-2,2,shirt,Small White Herringbone,CF-555-2.jpg
CF-574-4,2,shirt,Green Oxford,CF-574-4.jpg
CF-574-9,2,shirt,Purple Oxford,CF-574-9.jpg
GV-004,2,shirt,White Blue Stripe,GV-004.jpg
GV-007,2,shirt,White With Orange Stripe,GV-007.jpg
GV-009,2,shirt,"White With Red, Orange, Grey And Dark Blue Stripe",GV-009.jpg
GV-010,2,shirt,White With Blue Stripe,GV-010.jpg
GV-012,2,shirt,Beige With Brown And Blue Check,GV-012.jpg
GV-015,2,shirt,Baby Blue,GV-015.jpg
STR-209,2,shirt,Bone Solid,STR-209.jpg
STR-216,2,shirt,Tan Solid,STR-216.jpg
STR-4592,2,shirt,White Solid,STR-4592.jpg
STR-4594,2,shirt,Beige Solid,STR-4594.jpg
501200,2,shirt,White Oxford,501200.jpg
41001,3,shirt,Violet Gingham Checks,41001.jpg
41002,3,shirt,Dark Blue Gingham Checks,41002.jpg
41003,3,shirt,Black Gingham Checks,41003.jpg
41004,3,shirt,null,41004.jpg
41005,3,shirt,Blue With White Stripes,41005.jpg
41006,3,shirt,Light Blue With White Stripes,41006.jpg
41007,3,shirt,White With Navy Blue Checks,41007.jpg
41008,3,shirt,White With Light blue Checks,41008.jpg
41009,3,shirt,White With Violet Checks,41009.jpg
41010,3,shirt,White With Red Checks,41010.jpg
41011,3,shirt,White With Black Checks,41011.jpg
41012,3,shirt,White With Dark Blue Stripes,41012.jpg
41013,3,shirt,White With Light Blue Stripes,41013.jpg
41014,3,shirt,White With Violet Stripes,41014.jpg
41015,3,shirt,White With Red Stripes,41015.jpg
41016,3,shirt,White With Black Stripes,41016.jpg
41020,3,shirt,White With Dark Blue And Green Gingham Checked,41020.jpg
41021,3,shirt,White With Red And Grey Gingham Checked,41021.jpg
41022,3,shirt,"White With Tan,Blue And Dark grey Gingham Checked",41022.jpg
41023,3,shirt,"White With Purple,Yellow And Violet Gingham Checked",41023.jpg
41025,3,shirt,White With Orange Window Checked,41025.jpg
41026,3,shirt,White With Light Blue Window Checked,41026.jpg
41027,3,shirt,White With Light Brown Window Checked,41027.jpg
41028,3,shirt,White With Black And Grey Window Checked,41028.jpg
41029,3,shirt,White With Blue And Green Checked,41029.jpg
41030,3,shirt,"White With Dark Blue,Blue And Orange Checked",41030.jpg
41031,3,shirt,"White With Dark blue,Blue And Light Blue Checked",41031.jpg
41033,3,shirt,White With Dark Blue And grey Checked,41033.jpg
41035,3,shirt,Vanilla Solid,41035.jpg
41037,3,shirt,Light Pink Solid,41037.jpg
41039,3,shirt,Light Blue Solid,41039.jpg
41042,3,shirt,Black Solid,41042.jpg
41043,3,shirt,Cream Solid,41043.jpg
41054,3,shirt,Whith With Red PinStripe,41054.jpg
41060,3,shirt,White With Dark Blue Pinstripe,41060.jpg
41061,3,shirt,White With Dark Blue Checked,41061.jpg
41071,3,shirt,White With Red And Black Check,41071.jpg
41072,3,shirt,White With blue And black Stripes,41072.jpg
41074,3,shirt,White With Pink And black Stripes,41074.jpg
41075,3,shirt,White With Pink And black Checked,41075.jpg
41076,3,shirt,Light Blue With White Stripe,41076.jpg
41077,3,shirt,Light Blue White Checked,41077.jpg
41078,3,shirt,Light Blue White PinStripe,41078.jpg
41083,3,shirt,White With Pink PinStripe,41083.jpg
41089,3,shirt,Blue With White Stripe,41089.jpg
41090,3,shirt,Blue With White Checked,41090.jpg
41094,3,shirt,Light Blue With Maroon And White Checked,41094.jpg
41099,3,shirt,White With Light Blue Double Stripe,41099.jpg
41111,3,shirt,White Blue PinStripe,41111.jpg
41113,3,shirt,White Light Blue PinStripe,41113.jpg
41114,3,shirt,White With Light Blue Small Check,41114.jpg
41115,3,shirt,White With Navy PinStripe,41115.jpg
41116,3,shirt,White With Navy Small Check,41116.jpg
41117,3,shirt,White Black PinStripe,41117.jpg
41124,3,shirt,White With Lilac Stripe,41124.jpg
41132,3,shirt,White With Light Blue Stripe,41132.jpg
41133,3,shirt,White With Pink Stripe,41133.jpg
41134,3,shirt,White With Purple Stripe,41134.jpg
41148,3,shirt,Pink Micro Herringbone,41148.jpg
41149,3,shirt,Light Blue Micro Herringbone,41149.jpg
41151,3,shirt,Purple Micro Herringbone,41151.jpg
41153,3,shirt,White Herringbone,41153.jpg
41155,3,shirt,Yellow Herringbone,41155.jpg
41157,3,shirt,Pink Herringbone,41157.jpg
41158,3,shirt,Purple Herringbone,41158.jpg
41159,3,shirt,Lilac Herringbone,41159.jpg
41160,3,shirt,Light Herringbone,41160.jpg
41161,3,shirt,Blue Herringbone,41161.jpg
41164,3,shirt,Super Subtle White Ellipses,41164.jpg
41165,3,shirt,White Striped Herringbone,41165.jpg
41168,3,shirt,White Check,41168.jpg
41171,3,shirt,White Mini Herringbone,41171.jpg
41172,3,shirt,White Mini Chessboard,41172.jpg
41176,3,shirt,White Herringbone,41176.jpg
41181,3,shirt,White Mini Check,41181.jpg
41183,3,shirt,null,41183.jpg
41186,3,shirt,White Twill,41186.jpg
41187,3,shirt,White Micro Herringbone,41187.jpg
41189,3,shirt,White Diamond Dobby,41189.jpg
41190,3,shirt,White Gently Striped Texture,41190.jpg
41194,3,shirt,White With Orchid Stripe,41194.jpg
41195,3,shirt,White With Light Blue Stripe,41195.jpg
41196,3,shirt,White With Dark Blue Stripe,41196.jpg
41198,3,shirt,Light Blue With Navy Blue Stripe,41198.jpg
41209,3,shirt,Pink With White Stripe,41209.jpg
41210,3,shirt,Pink With White Mini Check,41210.jpg
41212,3,shirt,Purple With White Mini Check,41212.jpg
41215,3,shirt,White Stair Stepet,41215.jpg
41216,3,shirt,Pink Stair Stepet,41216.jpg
41217,3,shirt,Purple Stair Stepet,41217.jpg
41218,3,shirt,Light Blue Stair Stepet,41218.jpg
41219,3,shirt,Blue Stair Stepet,41219.jpg
41223,3,shirt,Black Chessboard,41223.jpg
41224,3,shirt,Black Herringbone,41224.jpg
41237,3,shirt,null,41237.jpg
41239,3,shirt,null,41239.jpg
41240,3,shirt,null,41240.jpg
42001,3,shirt,"Light,Red And White Stripe",42001.jpg
42003,3,shirt,White With Green And Blue Stripe,42003.jpg
42004,3,shirt,White With Purple Stripe,42004.jpg
