Fabric Code,Brand,Type,Color,File
505322,2,Shirt,Dark Blue With White Stripe,505322.jpg
505323,2,Shirt,Light Blue Check,505323.jpg
505324,2,Shirt,Black Check,505324.jpg
505325,2,Shirt,Blue Check,505325.jpg
553509,2,Shirt,Light Blue With Blue And Green Stripe,553509.jpg
553533,2,Shirt,White And Blue Stripe,553533.jpg
553536,2,Shirt,PowderBlue With Dark blue Stripe,553536.jpg
553563,2,Shirt,Ash With Yellow And White Pinstripe,553563.jpg
553565,2,Shirt,"White With Dark Grey, Grey And Yellow Stripe",553565.jpg
553566,2,Shirt,"White With Blue, Orange And Light Blue Stripe",553566.jpg
553567,2,Shirt,"White With Sky Blue, Dark Blue And Green Stripe",553567.jpg
553571,2,Shirt,"White With Pink, Light Blue And Gold Pinstripe",553571.jpg
553573,2,Shirt,White With Pink And Black Strip,553573.jpg
553692,2,Shirt,Beige And Dark Blue Double Stripe,553692.jpg
553694,2,Shirt,Tan With Red And Blue Stripe,553694.jpg
553696,2,Shirt,Tan With Brown Stripe,553696.jpg
553697,2,Shirt,Tan With Dark Blue Stripe,553697.jpg
553698,2,Shirt,Tan With Red Stripe,553698.jpg
553699,2,Shirt,Beige Double Stripe,553699.jpg
553723,2,Shirt,"White With Pink, Dark Blue, Fountain Blue And Powder Blue",553723.jpg
553755,2,Shirt,"Crem With Blue,Green And Black Checked",553755.jpg
553756,2,Shirt,Marl Beige Herringbone,553756.jpg
553758,2,Shirt,Tan Diagonal Grid,553758.jpg
553766,2,Shirt,"Blue, Orange And Beige Stripe",553766.jpg
553788,2,Shirt,White With Red Striped,553788.jpg
553803,2,Shirt,White With Pink And Purple Stripe,553803.jpg
553868,2,Shirt,"White With Powder Blue, Navy Blue, Purple, Pink, Green, Red And Orange Stripes",553868.jpg
553905,2,Shirt,Tan With Light Brown And Dark Blue Stripe,553905.jpg
553906,2,Shirt,Tan With Dark Blue Stripe,553906.jpg
553912,2,Shirt,White With Purple Stripe,553912.jpg
553929,2,Shirt,White with Baby Blue Pink Stripe,553929.jpg
553930,2,Shirt,"White With Blue, Pink And Green Pinstripe",553930.jpg
553931,2,Shirt,White With Blue And Grey Stripe,553931.jpg
553946,2,Shirt,"White With Red, Purple And Blue Stripe",553946.jpg
553948,2,Shirt,White With Yellow And Green Stripes,553948.jpg
553953,2,Shirt,Light With Pink And Red Stripe,553953.jpg
553976,2,Shirt,Tan Solid,553976.jpg
554050,2,Shirt,"White With Blue, Light Blue, Red And Pink Stripe",554050.jpg
554051,2,Shirt,"White With Blue, Light Blue, Yellow And Orange Selfstripe",554051.jpg
554052,2,Shirt,White With Blue And Light Blue Stripe,554052.jpg
554053,2,Shirt,Pink And Blue Stripes,554053.jpg
554059,2,Shirt,null,554059.jpg
554060,2,Shirt,null,554060.jpg
554072,2,Shirt,"White,Yellow And Blue Stripe",554072.jpg
554075,2,Shirt,Beige With Dark Blue And Maroon Stripes,554075.jpg
554112,2,Shirt,"Cream With Dark Blue, Blue And Sky Blue Stripe",554112.jpg
554127,2,Shirt,White With Pink And Brown Stripes,554127.jpg
554128,2,Shirt,Red And Blue Stripes,554128.jpg
554129,2,Shirt,"White With Blue,Orange And Yellow Stripes",554129.jpg
554131,2,Shirt,"Whte, Blue And Red Stripe",554131.jpg
554140,2,Shirt,White With Pink And Yellow Checked,554140.jpg
554142,2,Shirt,"White With Light Blue,Red,Navy And  piper PinStripes",554142.jpg
554172,2,Shirt,"Light blue, Pink,maroon And Red Striopes",554172.jpg
554174,2,Shirt,Brown Stripe,554174.jpg
554178,2,Shirt,Green,554178.jpg
554193,2,Shirt,Blue With White And Brown Stripes,554193.jpg
554197,2,Shirt,White With Triple Blue Stripes,554197.jpg
554200,2,Shirt,White With Brown And Red Pinstripe,554200.jpg
554204,2,Shirt,White With Orange And Apricot Stripe,554204.jpg
554206,2,Shirt,Brown And Light Stripe,554206.jpg
554207,2,Shirt,Blue And Brown Stripe,554207.jpg
554208,2,Shirt,White Pink Pinstripe,554208.jpg
554211,2,Shirt,White With Black And Brown Stripe,554211.jpg
554214,2,Shirt,"Sky Blue, Blue And White Stripe",554214.jpg
554215,2,Shirt,"White, Red And Pink Stripe",554215.jpg
554219,2,Shirt,White And Light Brown Stripe,554219.jpg
554225,2,Shirt,White With Black And Maroon Checked,554225.jpg
554229,2,Shirt,White With Red And Orange Stripes,554229.jpg
554233,2,Shirt,"White With Blue, Navy Blue And Purple Stripes",554233.jpg
554235,2,Shirt,White With Blue And Pink Stripes,554235.jpg
554239,2,Shirt,White With Wisp Pink Stripe,554239.jpg
554240,2,Shirt,White With Pink Stripe,554240.jpg
554241,2,Shirt,Grey And Orange Stripe,554241.jpg
554245,2,Shirt,White And Black Stripe,554245.jpg
554251,2,Shirt,White Blue Stripe,554251.jpg
554255,2,Shirt,White And Blue Stripe,554255.jpg
554261,2,Shirt,Beige,554261.jpg
554265,2,Shirt,White With Blue And Green Stripe,554265.jpg
554270,2,Shirt,Pine Glade Twill,554270.jpg
554282,2,Shirt,Light Pink Twill,554282.jpg
554283,2,Shirt,Dust Storm,554283.jpg
554285,2,Shirt,Blue Pinpoint,554285.jpg
554295,2,Shirt,Grey Twill,554295.jpg
554298,2,Shirt,null,554298.jpg
554306,2,Shirt,White With Blue And Red Stripe,554306.jpg
554308,2,Shirt,Light Blue With Dark Blue And White Stripe,554308.jpg
554309,2,Shirt,"White, Blue And Black Stripe",554309.jpg
554312,2,Shirt,"Light Blue, Red And White Striped",554312.jpg
554319,2,Shirt,Blue With White Stripe,554319.jpg
554323,2,Shirt,"Light Blue With Blue, Dark Blue And White Stripe",554323.jpg
554324,2,Shirt,White And Blue Gingham Checks,554324.jpg
554327,2,Shirt,Blue And White Check,554327.jpg
554391,2,Shirt,French Lilac And White Herringbone,554391.jpg
554392,2,Shirt,Almond And White Herringbone,554392.jpg
554393,2,Shirt,Yellow And White Herringbone,554393.jpg
554394,2,Shirt,Maroon Oak And White Herringbone,554394.jpg
554494,2,Shirt,Dark Brown With White Pin stripe,554494.jpg
554500,2,Shirt,"Light Blue, Black, White And Pink Stripes",554500.jpg
554502,2,Shirt,Light Blue With White And Blue Stripes,554502.jpg
554505,2,Shirt,"Black, White And Sky Blue Stripes",554505.jpg
554506,2,Shirt,"Black, Ash And White Stripes",554506.jpg
554508,2,Shirt,White And Red Stripes,554508.jpg
554509,2,Shirt,White And Black Stripe,554509.jpg
554510,2,Shirt,"Light Blue, White And Dark Blue Stripe",554510.jpg
554511,2,Shirt,Light Blue With White And Grape,554511.jpg
554512,2,Shirt,Light Blue White And Blue Stripes,554512.jpg
554513,2,Shirt,White With Baby Blue And Blue Stripe,554513.jpg
554515,2,Shirt,White With Red And Blue Stripe,554515.jpg
554517,2,Shirt,Light Blue With Blue And Dark Blue Stripe,554517.jpg
554562,2,Shirt,Blue,554562.jpg
554563,2,Shirt,Pumpkin With Yellow,554563.jpg
554566,2,Shirt,Pink,554566.jpg
554567,2,Shirt,Blue,554567.jpg
554568,2,Shirt,BlueWith white Herringbone,554568.jpg
554569,2,Shirt,Pink And White Stripes,554569.jpg
554570,2,Shirt,null,554570.jpg
554573,2,Shirt,White With Yellow Stripe,554573.jpg
554574,2,Shirt,Sky Blue And Pink Stripe,554574.jpg
554575,2,Shirt,White With Green Stripe,554575.jpg
554576,2,Shirt,White With Dark Brown Stripe,554576.jpg
554577,2,Shirt,White With Black Stripe,554577.jpg
554579,2,Shirt,Bastille,554579.jpg
554586,2,Shirt,"Martinique With Green, Silver And Black Stripe",554586.jpg
554625,2,Shirt,null,554625.jpg
554830,2,Shirt,White With Black And Pink Stripe,554830.jpg
554831,2,Shirt,Black Gingham,554831.jpg
554835,2,Shirt,null,554835.jpg
554869,2,Shirt,Black With Double White Stripe,554869.jpg
554880,2,Shirt,Dark Blue Herringbone,554880.jpg
554895,2,Shirt,Pink With White Stripe,554895.jpg
554899,2,Shirt,Pink,554899.jpg
554900,2,Shirt,Sky Blue,554900.jpg
554913,2,Shirt,White And Red Stripe,554913.jpg
554923,2,Shirt,Dark Blue With White Striped,554923.jpg
554926,2,Shirt,Sky Blue With Pink Skinny Stripes,554926.jpg
554927,2,Shirt,Light Blue With White Stripe,554927.jpg
554929,2,Shirt,Red With White Stripes,554929.jpg
554946,2,Shirt,Dark Red Herringbone,554946.jpg
554984,2,Shirt,Solid Waikawa Gray,554984.jpg
554988,2,Shirt,Solid Black,554988.jpg
555024,2,Shirt,null,555024.jpg
